POINTS,FIRST_NAME,LAST_NAME,GENDER,TEAM
944,Hilton,Clarke,M,UnitedHealthcare Pro Cycling
831,Shane,Kline,M,Team SmartStop-Mountain Khakis
770,Kevin,Mullervy,M,Champion System p/b Stan's NoTubes
716,Luke,Keough,M,UnitedHealthcare Pro Cycling
606,Rafael,Meran,M,CRCA/Foundation
599,Gavriel,Epstein,M,Champion System p/b Stan's NoTubes
585,Carlos,Alzate Escobar,M,UnitedHealthcare Pro Cycling
575,Frank,Travieso,M,Team SmartStop-Mountain Khakis
564,Karl,Menzies,M,UnitedHealthcare Pro Cycling
523,Thomas,Brown,M,Team SmartStop-Mountain Khakis
522,Sergio,Hernandez,M,Team Predator Carbon Repair
496,Allan,Rego,M,Champion System p/b Stan's NoTubes
475,Stephen,Clancy,M,Novo Nordisk
472,Demis,Aleman,M,Jamis Hagens Berman p/b Sutter Home
460,Euris,Vidal,M,CRCA/Foundation
451,Isaac,Howe,M,Team SmartStop-Mountain Khakis
448,Neil,Bezdek,M,CRCA/Foundation
446,Yosvany,Falcon,M,Sharecare
438,Emile,Abraham,M,Team Predator Carbon Repair
416,Michael,Weicht,M,CashCall Mortgage
407,Daniel,Holt,M,United Healthcare of Georgia p/b The 706 Project
386,Derek,Wilkerson,M,Bomb Hair p/b Motofish
376,David,Guttenplan,M,AG BICYCLES / GUTTENPLAN COACHING
369,Alder,Martz,M,Hincapie Sportswear Development Team
358,Jean,Michel Lechance,M,Team Predator Carbon Repair
352,adrian,hegyvary,M,UnitedHealthcare Pro Cycling
342,Ruben,Companioni,M,Jamis Hagens Berman p/b Sutter Home
333,Rahsaan,Bahati,M,Sharecare Cycling p/b Wheelandsprocket.com
330,Lucas,Wardein,M,D3 Devo
325,Jesse,Keough,M,CRCA/Foundation
325,Conor,Mullervy,M,Champion System p/b Stan's NoTubes
310,Chad,Hartley,M,Sharecare Cycling p/b Wheelandsprocket.com
299,Jordan,Heimer,M,
287,Jacob,Hill,M,Stan's NoTubes p/b Proferrin
285,Shane,Braley,M,Champion System p/b Stan's NoTubes
284,Brian,Arne,M,Finish Strong Elite Cycling Team
279,Ben,Zawacki,M,Hincapie Sportswear Development Team
266,Adam,Koble,M,GIANT-South
265,Adam,Leibovitz,M,Texas Roadhouse Cycling Team
262,Fabrizio,Von Nacher,M,CashCall Mortgage
253,Ryan,DeWald,M,Team Skyline
252,Carlos,Alzate,M,UnitedHealthcare Pro Cycling
244,Alejandro,Guzman,M,CRCA/Foundation
230,Benjamin,Chaddock,M,Team SmartStop-Mountain Khakis
227,Josh,Thornton,M,Pioneer Mortgage Funding presented by www.yourkey.com
221,Mike,Sherer,M,Optum p/b Kelly Benefit Strategies
219,Bobby,Lea,M,Team SmartStop-Mountain Khakis
219,Diego,Garavito,M,Finish Strong Elite Cycling Team
218,Alex,Candelario,M,Optum p/b Kelly Benefit Strategies
217,Kevin,Attkisson,M,Texas Roadhouse Cycling Team
215,Alexey,Shmidt,M,United Healthcare of Georgia p/b The 706 Project
210,Andrei,Strelkov,M,Novo Nordisk
207,Cole,House,M,CashCall Mortgage
206,Andrew,Dahlheim,M,BISSELL Pro Cycling
200,Charles,Huff,M,Jelly Belly presented by Kenda
199,Guido,Palma,M,Jamis Hagens Berman p/b Sutter Home
198,Branden,Russell,M,Novo Nordisk
198,Bruno,Langlois,M,Garneau-Quebecor
196,Oscar,Clark,M,Hincapie Sportswear Development Cycling Team
195,Justin,Morris,M,Novo Nordisk
195,Thomas,Gibbons,M,EBP
193,Rob,White,M,sharecare p/b wheelandsprocket.com
189,Juan,Magallanes,M,P&S-Specialized
188,Travis,McCabe,M,Elbowz P/B Boneshaker
184,Julian,Cabra,M,Finish Strong Elite Cycling Team
178,Chris,Wolhuter,M,Stan's NoTubes p/b Proferrin
177,David,Santos,M,CashCall Mortgage
173,Eric,Marcotte,M,Elbowz P/B Boneshaker
171,Adam,Farabaugh,M,Garneau-Quebecor
170,Brian,Hill,M,Stan's NoTubes p/b Proferrin
167,Jesse,Goodrich,M,California Giant / Specialized
163,Marco,Aledia,M,sharecare p/b wheelandsprocket.com
163,Colton,Barrett,M,Texas Roadhouse Cycling Team
163,Anthony,Canevari,M,SoCalCycling.com
159,Eric,Young,M,Optum p/b Kelly Benefit Strategies
158,Brad,White,M,UnitedHealthcare Pro Cycling
155,Stephan,Hirsch,M,United Healthcare of Georgia p/b The 706 Project
