POINTS,FIRST_NAME,LAST_NAME,GENDER,TEAM
963,Erica,Allar,W,CARE4CYCLING powered by Solomon
717,Joanie,Caron,W,Primal Pro Women p/b BH
709,Morgan,Patton,W,Team Novo Nordisk
708,Lenore,Pipes,W,CARE4CYCLING powered by Solomon
707,Tiffany,Pezzulo,W,Primal Pro Women p/b BH
691,Jacquelyn,Crowell,W,Exergy TWENTY16
681,Laura,Van Gilder,W,Mellow Mushroom
647,Lauren,Stephens,W,FCS|Zngine p/b Mr. Restore
619,Christina,Gokey-Smith,W,ROUSE/OOGIE RACING
596,Tina,Pic,W,Colavita/Fine Cooking
574,Jennifer,Purcell,W,Colavita/Fine Cooking
516,Melina,Bernecker,W,Primal Pro Women p/b BH
481,Theresa,Cliff-Ryan,W,Fearless Femme p/b Pure Energy Cycling-Vie13
480,Christy,Keely,W,Pepper Palace Pro Cycling
459,Vanessa,Drigo,W,Rose Bandit Racing Team
448,Laura,Parsons,W,Rose Bandit Racing Team
423,Anna,Sanders,W,FCS|Zngine p/b Mr. Restore
416,Carrie,Cash Wootten,W,Pepper Palace Pro Cycling
413,Sara,Tussey,W,VeloShine Cycling Team
411,Nichole,Wangsgard,W,Primal Pro Women p/b BH
403,Lindsay,Bayer,W,Colavita/Fine Cooking
389,Mary,Zider,W,
378,Cinthia,Lehner,W,Pepper Palace Pro Cycling
372,Kimberley,Wells,W,Fearless Femme p/b Pure Energy Cycling-Vie13
370,Cari,Higgins,W,Exergy TWENTY16
366,Scotti,Wilborne,W,Leborne Development
362,Liza,Rachetto,W,Vanderkitten Women's Cycling
325,Starla,Teddergreen,W,Vanderkitten Women's Cycling
323,Jessica,Prinner,W,CARE4CYCLING powered by Solomon
313,Hannah,Miller,W,PainPathways Cycling Team
307,Amy,McGuire,W,FCS|Zngine p/b Mr. Restore
304,Jennifer,Caicedo,W,Pepper Palace Pro Cycling
295,leah,kirchmann,W,Optum p/b Kelly Benefit Strategies
282,Shannon,Parrish,W,Team Kenda p/b RACC
282,Ambre,Levy,W,Pink Panthers Cycling Team
243,Kaytie,Scott,W,Primal Pro Women p/b BH
241,Kelly,Fisher-Goodwin,W,Fearless Femme p/b Pure Energy Cycling-Vie13
238,lauren,hall,W,Optum p/b Kelly Benefit Strategies
233,Whitney,Schultz,W,SkiNourishment p/b Paceline Projects
231,Brianna,Walle,W,Optum p/b Kelly Benefit Strategies
225,Jade,Wilcoxson,W,Optum p/b Kelly Benefit Strategies
222,Lauren,Tamayo,W,Exergy TWENTY16
221,Alison,Powers,W,NOW and Novartis for MS
220,Stacey,Jensen,W,Team Kenda p/b RACC
217,Jamie,Bookwalter,W,Team Colavita
209,annie,ewart,W,Optum p/b Kelly Benefit Strategies
205,Kathryn,Clark,W,PainPathways Cycling Team
205,Jennifer,Valente,W,ExergyTWENTY16
204,Marianne,Holt,W,PainPathways Cycling Team
204,Debbie,Milne,W,Cleveland Clinic - Carbon Racing
201,Nadia,Latzgo,W,Exergy TWENTY16
201,Jo,Kiesanowski,W,Team Tibco
200,Samantha,Schneider,W,Team TIBCO
192,Sam,Schneider,W,Team Tibco
187,Anne,Donley,W,DonleyAnne
184,Chantal,Blaak,W,Team Tibco
183,Rushlee,Buchanan,W,Team Tibco
182,amber,gaffney,W,Optum p/b Kelly Benefit Strategies
181,Liz,Gerrity,W,Rose Bandit Racing Team
180,Alexis,Ryan,W,NOW and Novartis for MS
175,Alisha,Welsh,W,Sabino Cycles Racing
170,Amy,Horstmeyer,W,Team Kenda p/b RACC
166,Amy,Phillips,W,Hub Endurance Chattanooga
166,Erin,Silliman,W,Fearless Femme p/b Pure Energy Cycling-Vie13
159,Kori,Seehafer,W,Primal Pro Women p/b BH
159,Irena,Ossola,W,Team Kenda p/b RACC
157,Colleen,Gulick,W,Team Kenda p/b RACC
154,Kat,Carr,W,SkiNourishment p/b Paceline Projects
148,Katherine,Ross,W,Pepper Palace Pro Cycling
147,Marilyn,McDonald,W,Landis/Trek
146,Melissa,Ross,W,FASTER Performance Center
142,Samantha,Heinrich,W,West Coast Cycling p/b STS Bikes/Harold Hart & Associates, Inc.
141,Terra,James,W,Team Kenda p/b RACC
141,Erica,Zaveta,W,
137,Robin,Farina,W,NOW and Novartis for MS
136,Maura,Kinsella,W,NOW and Novartis for MS
134,Jacqueline,Kurth,W,Colavita/Fine Cooking
131,Jodi,Diemar,W,CARE4CYCLING powered by Solomon
129,Elizabeth,Beth Newell,W,NOW and Novartis for MS
128,Gwen,Inglis,W,Team Kenda p/b RACC
125,Amity,Elliot,W,Team Kenda p/b RACC
124,Debbie,Prouty,W,PCP Race Team
122,Addy,Albershardt,W,Pasta Zara - Cogeas
119,Laura,Brown,W,Colavita/Fine Cooking
119,Julie,Cutts,W,Primal Pro Women p/b BH
115,Andrea,Dvorak,W,Exergy TWENTY16
113,Kapri,Gonzales,W,Landis/Trek
112,Joelle,Numainville,W,Optum p/b Kelly Benefit Strategies
111,Chloe,Black,W,Sabino Cycles Racing
110,Zoe,Mullins,W,Exergy TWENTY16
110,Meredith,Miller,W,Team Tibco
110,Dawn,Decaminada,W,
110,Stephanie,Cucaz,W,PCP Race Team
107,Arley,Kemmerer,W,C3-Twenty20 Cycling Co.
104,Melanie,Spath,W,Team TIBCO
101,Judy,Jenkins,W,Landis/Trek
95,Lauren,Rauck Komanski,W,NOW and Novartis for MS
95,Lindsey,Durst,W,FCS|Zngine p/b Mr. Restore
84,Lauren,Arnouts,W,Restore Cycling
77,Holly,Mathews,W,ISCorp Intelligentsia
77,Elizabeth,Newell,W,NOW and Novartis for MS
68,Elizabeth,McCalley,W,Hub Endurance
67,Janel,Holcomb,W,Optum p/b Kelly Benefit Strategies
65,Sarah,Rice,W,Spidermonkey cycling
62,Frances,Morrison,W,Pedal Power
60,Sheila,Orem,W,Team Kenda p/b RACC
60,Samantha,Brode,W,Cleveland Clinic - Carbon Racing
60,Julie,Kuliecza,W,Pepper Palace Pro Cycling
60,Amanda,Schaap,W,Team Kenda p/b RACC
60,Allison,Arensman,W,Pepper Palace Pro Cycling
60,Marianna,Williams,W,Outspokin Augusta
60,Martha,Hall,W,Beck Cycling
60,Skylar,Schneider,W,Team Tibco
60,Sarah,Huang,W,Exergy TWENTY16
60,Kristen,Meshberg,W,Spidermonkey Cycling
60,Zoe,Frazier,W,Frazier Cycling
60,Chane,Chane,W,INTC
60,Dominique,Shore,W,Frazier Cycling Partners
60,Rebecca,Schepps,W,Team Novo Nordisk
60,Elizabeth,Lee,W,LG Factory Team p/b Fuji
60,Arden,Stelly,W,Pain Pathways Women's Cycling
51,Elizabeth,Morse Hill,W,CARE4CYCLING powered by Solomon
50,Megan,Cole,W,Whole Foods Market
50,Jennie,May,W,Louis Garneau Factory Team p/b Fuji
50,Holly,Beard,W,Team Kenda p/b RACC
50,Melissa,Petty,W,HUB Endurance Women's Cycling
50,Chelsea,Factor,W,Team Kenda p/b RACC
50,Abilgail,Aldridge,W,PCP Race Team
50,Courteney,Lowe,W,Optum p/b Kelly Benefit Strategies
50,Heather,Holmes,W,Michael David Winery
50,Kimberly,Truitt,W,Landis/Trek
50,Kristen,LaSasso,W,Rose Bandit Racing Team
50,Meaghan,Bryan,W,Rose Bandit Racing Team
50,Payton,Thomas,W,FCS|Zngine p/b Mr. Restore
50,Rachel,Byus,W,FCS|Zngine p/b Mr. Restore
50,Christy,Blakely,W,CARE4CYCLING p/b Solomon Corp
50,Lee-Ann,Beatty,W,Body by Vi p/b VeloVie
50,Erica,Chard,W,Pepper Palace Pro Cycling
50,Amy,Plotkin,W,Rose Bandit Racing Team
50,Jennifer,Schuble,W,I AM The Engine / I AM Racing
50,Lisa,Ribes,W,Sabino Cycles Racing
50,Colleen,Hayduk,W,Fearless Femme p/b Pure Energy Cycling-Vie 13
